## 1 - Complete phage contigs - category 1 (sure)
## Contig_id,Nb genes contigs,Fragment,Nb genes,Category,Nb phage hallmark genes,Phage gene enrichment sig,Non-Caudovirales phage gene enrichment sig,Pfam depletion sig,Uncharacterized enrichment sig,Strand switch depletion sig,Short genes enrichment sig
VIRSorter_NODE_1296_length_31293_cov_3_28856,31,VIRSorter_NODE_1296_length_31293_cov_3_28856,31,2,,gene_4-gene_31:14.65715936367326,,gene_2-gene_31:13.84156469776733,,,
VIRSorter_NODE_1314_length_30882_cov_79_3172,40,VIRSorter_NODE_1314_length_30882_cov_79_3172,40,2,2,gene_3-gene_40:14.59473754519439,,18.96409861543400,,,
VIRSorter_NODE_1315_length_30857_cov_60_7053,38,VIRSorter_NODE_1315_length_30857_cov_60_7053,38,2,,gene_1-gene_33:15.97197394364495,,gene_1-gene_35:16.31364349847904,,,
VIRSorter_NODE_13192_length_2786_cov_2_78836,7,VIRSorter_NODE_13192_length_2786_cov_2_78836,7,2,,2.25190287405618,,3.79042655108673,,,
VIRSorter_NODE_13194_length_2785_cov_3_12674,3,VIRSorter_NODE_13194_length_2785_cov_3_12674,3,2,,2.04557757132845,,,,,
VIRSorter_NODE_1329_length_30676_cov_15_1302,33,VIRSorter_NODE_1329_length_30676_cov_15_1302,33,2,1,,,gene_1-gene_31:10.84127735022321,gene_3-gene_30:3.77059052687610,,
VIRSorter_NODE_13345_length_2748_cov_1_62124,6,VIRSorter_NODE_13345_length_2748_cov_1_62124,6,2,,2.71383052214983,,3.24893704378863,,,
VIRSorter_NODE_13385_length_2740_cov_2_42309,4,VIRSorter_NODE_13385_length_2740_cov_2_42309,4,2,,2.72743676177127,,2.16595802919242,,,
VIRSorter_NODE_13453_length_2726_cov_2_09959,3,VIRSorter_NODE_13453_length_2726_cov_2_09959,3,2,,2.04557757132845,,,,,
VIRSorter_NODE_13476_length_2720_cov_2_61726,3,VIRSorter_NODE_13476_length_2720_cov_2_61726,3,2,,2.04557757132845,,,,,
VIRSorter_NODE_1354_length_30360_cov_10_5401,31,VIRSorter_NODE_1354_length_30360_cov_10_5401,31,2,1,,,gene_1-gene_27:12.21709617587302,,,
VIRSorter_NODE_13573_length_2702_cov_12_742,3,VIRSorter_NODE_13573_length_2702_cov_12_742,3,2,,2.04557757132845,,,,,
VIRSorter_NODE_13827_length_2647_cov_1_37384,4,VIRSorter_NODE_13827_length_2647_cov_1_37384,4,2,1,,,2.16595802919242,,,
VIRSorter_NODE_1391_length_29770_cov_3_03379,44,VIRSorter_NODE_1391_length_29770_cov_3_03379,44,2,,gene_4-gene_35:7.31612263870876,,17.25350988166552,,,
VIRSorter_NODE_13965_length_2615_cov_2_48789,4,VIRSorter_NODE_13965_length_2615_cov_2_48789,4,2,1,,,2.16595802919242,,,
VIRSorter_NODE_1409_length_29480_cov_101_09,38,VIRSorter_NODE_1409_length_29480_cov_101_09,38,2,2,gene_1-gene_34:6.57394719297922,,15.95941723728123,,,
VIRSorter_NODE_14149_length_2579_cov_1_52615,5,VIRSorter_NODE_14149_length_2579_cov_1_52615,5,2,,2.10752451831288,,2.70744753649053,,,
VIRSorter_NODE_14255_length_2558_cov_1_69077,9,VIRSorter_NODE_14255_length_2558_cov_1_69077,9,2,,2.42147024830831,,4.87340556568294,,,2.07929796534391
VIRSorter_NODE_1442_length_28967_cov_7_16377,47,VIRSorter_NODE_1442_length_28967_cov_7_16377,47,2,4,,,20.51005391234040,gene_5-gene_33:3.82870339947064,,
VIRSorter_NODE_14529_length_2504_cov_2_01633,4,VIRSorter_NODE_14529_length_2504_cov_2_01633,4,2,1,,,2.16595802919242,,,
VIRSorter_NODE_1469_length_28530_cov_6_50648,57,VIRSorter_NODE_1469_length_28530_cov_6_50648,57,2,,gene_4-gene_57:13.07039880549375,,27.79449459425187,,,gene_2-gene_22:8.83552617487479
VIRSorter_NODE_1476_length_28436_cov_3_71618,33,VIRSorter_NODE_1476_length_28436_cov_3_71618,33,2,,gene_1-gene_29:3.30168197936884,,gene_1-gene_29:11.36335199581617,,,
VIRSorter_NODE_14891_length_2435_cov_1_70378,5,VIRSorter_NODE_14891_length_2435_cov_1_70378,5,2,,3.40929595221409,,2.70744753649053,,,
VIRSorter_NODE_14901_length_2433_cov_2_29142,3,VIRSorter_NODE_14901_length_2433_cov_2_29142,3,2,,2.04557757132845,,,,,
VIRSorter_NODE_15055_length_2407_cov_1_85842,5,VIRSorter_NODE_15055_length_2407_cov_1_85842,5,2,1,,,2.70744753649053,,,
VIRSorter_NODE_15097_length_2399_cov_1_83788,4,VIRSorter_NODE_15097_length_2399_cov_1_83788,4,2,1,,,2.16595802919242,,,
VIRSorter_NODE_15134_length_2393_cov_2_00043,5,VIRSorter_NODE_15134_length_2393_cov_2_00043,5,2,1,,,2.70744753649053,,,
VIRSorter_NODE_15290_length_2366_cov_1_52012,5,VIRSorter_NODE_15290_length_2366_cov_1_52012,5,2,,2.10752451831288,,2.70744753649053,,,
VIRSorter_NODE_1531_length_27729_cov_9_48847,44,VIRSorter_NODE_1531_length_27729_cov_9_48847,44,2,2,gene_5-gene_42:7.59809652055496,,17.25350988166552,,,
VIRSorter_NODE_15610_length_2314_cov_1_37849,4,VIRSorter_NODE_15610_length_2314_cov_1_37849,4,2,,2.72743676177127,,2.16595802919242,,,
VIRSorter_NODE_1591_length_26895_cov_108_351,40,VIRSorter_NODE_1591_length_26895_cov_108_351,40,2,,gene_7-gene_32:2.43109955197920,,16.96335556300285,,,
VIRSorter_NODE_15924_length_2267_cov_2_56193,5,VIRSorter_NODE_15924_length_2267_cov_2_56193,5,2,,2.10752451831288,,,,,
VIRSorter_NODE_15954_length_2263_cov_1_58062,3,VIRSorter_NODE_15954_length_2263_cov_1_58062,3,2,,2.04557757132845,,,,,
VIRSorter_NODE_15973_length_2259_cov_1_73367,4,VIRSorter_NODE_15973_length_2259_cov_1_73367,4,2,1,,,2.16595802919242,,,
VIRSorter_NODE_1599_length_26769_cov_64_173,37,VIRSorter_NODE_1599_length_26769_cov_64_173,37,2,3,gene_9-gene_32:11.79059164671079,,17.42658573645269,,,
VIRSorter_NODE_16022_length_2250_cov_1_80091,6,VIRSorter_NODE_16022_length_2250_cov_1_80091,6,2,1,,,3.24893704378863,,,
VIRSorter_NODE_16057_length_2244_cov_2_84422,3,VIRSorter_NODE_16057_length_2244_cov_2_84422,3,2,,2.04557757132845,,,,,
VIRSorter_NODE_1611_length_26605_cov_3_72102,32,VIRSorter_NODE_1611_length_26605_cov_3_72102,32,2,3,gene_1-gene_31:14.86054179560172,,14.88675515147414,,,
VIRSorter_NODE_1619_length_26530_cov_13_7122,46,VIRSorter_NODE_1619_length_26530_cov_13_7122,46,2,,gene_4-gene_28:6.54375564916758,,22.06156201069301,,,
VIRSorter_NODE_1626_length_26442_cov_8_18551,11,VIRSorter_NODE_1626_length_26442_cov_8_18551,11,2,,gene_2-gene_11:2.47746763808776,,4.02790539300928,,,
VIRSorter_NODE_16349_length_2200_cov_1_39674,3,VIRSorter_NODE_16349_length_2200_cov_1_39674,3,2,,2.04557757132845,,,,,
VIRSorter_NODE_1671_length_25578_cov_3_72064,39,VIRSorter_NODE_1671_length_25578_cov_3_72064,39,2,4,gene_9-gene_39:4.96346039395723,,13.29249137643358,,,
VIRSorter_NODE_16793_length_2132_cov_1_62975,5,VIRSorter_NODE_16793_length_2132_cov_1_62975,5,2,1,,,2.70744753649053,,,
VIRSorter_NODE_1684_length_25308_cov_8_23233,44,VIRSorter_NODE_1684_length_25308_cov_8_23233,44,2,4,gene_2-gene_18:6.97459330865965,,gene_2-gene_44:18.45285933125108,,,gene_21-gene_44:2.34367050076381
VIRSorter_NODE_17122_length_2087_cov_2_49163,5,VIRSorter_NODE_17122_length_2087_cov_2_49163,5,2,,3.40929595221409,,2.70744753649053,,,
VIRSorter_NODE_17307_length_2065_cov_1_72289,3,VIRSorter_NODE_17307_length_2065_cov_1_72289,3,2,,2.04557757132845,,,,,
VIRSorter_NODE_17330_length_2062_cov_2_12108,3,VIRSorter_NODE_17330_length_2062_cov_2_12108,3,2,,2.04557757132845,,,,,
VIRSorter_NODE_17532_length_2036_cov_1_44876,4,VIRSorter_NODE_17532_length_2036_cov_1_44876,4,2,,2.72743676177127,,2.16595802919242,,,
VIRSorter_NODE_17569_length_2031_cov_1_74545,4,VIRSorter_NODE_17569_length_2031_cov_1_74545,4,2,,2.72743676177127,,2.16595802919242,,,
VIRSorter_NODE_1785_length_24079_cov_4_06681,28,VIRSorter_NODE_1785_length_24079_cov_4_06681,28,2,2,gene_2-gene_16:7.94913425568943,,12.88295260339411,gene_19-gene_28:2.12941363944193,,
VIRSorter_NODE_17975_length_1984_cov_85_3691,3,VIRSorter_NODE_17975_length_1984_cov_85_3691,3,2,,2.04557757132845,,,,,
VIRSorter_NODE_18029_length_1978_cov_2_66719,5,VIRSorter_NODE_18029_length_1978_cov_2_66719,5,2,,3.40929595221409,,2.70744753649053,,,
VIRSorter_NODE_1811_length_23770_cov_3_56538,33,VIRSorter_NODE_1811_length_23770_cov_3_56538,33,2,3,gene_14-gene_31:9.79634417325105,,13.47391680159451,,,
VIRSorter_NODE_1836_length_23520_cov_3_63831,35,VIRSorter_NODE_1836_length_23520_cov_3_63831,35,2,4,gene_1-gene_13:4.61566686760363,,14.46345561464620,gene_15-gene_35:4.16075989747345,,
VIRSorter_NODE_18459_length_1930_cov_1_4624,5,VIRSorter_NODE_18459_length_1930_cov_1_4624,5,2,,2.10752451831288,,,,,
VIRSorter_NODE_1850_length_23395_cov_4_64284,27,VIRSorter_NODE_1850_length_23395_cov_4_64284,27,2,,gene_13-gene_24:4.28016456459955,,gene_4-gene_25:9.67977305016616,,,
VIRSorter_NODE_1868_length_23209_cov_2_59484,35,VIRSorter_NODE_1868_length_23209_cov_2_59484,35,2,1,gene_2-gene_34:2.13388276792933,,gene_2-gene_35:15.86533613166975,,,
VIRSorter_NODE_18805_length_1895_cov_4_01902,4,VIRSorter_NODE_18805_length_1895_cov_4_01902,4,2,,2.72743676177127,,2.16595802919242,,,
VIRSorter_NODE_18835_length_1893_cov_1_42927,5,VIRSorter_NODE_18835_length_1893_cov_1_42927,5,2,,2.10752451831288,,2.70744753649053,,,
VIRSorter_NODE_18891_length_1887_cov_1_89083,4,VIRSorter_NODE_18891_length_1887_cov_1_89083,4,2,1,,,2.16595802919242,,,2.43179827593301
VIRSorter_NODE_1911_length_22700_cov_5_15575,23,VIRSorter_NODE_1911_length_22700_cov_5_15575,23,2,,gene_9-gene_22:2.15994659838017,,8.66946572109678,,,
VIRSorter_NODE_19146_length_1864_cov_1_26147,4,VIRSorter_NODE_19146_length_1864_cov_1_26147,4,2,,2.72743676177127,,2.16595802919242,,,
VIRSorter_NODE_1918_length_22624_cov_2_83003,22,VIRSorter_NODE_1918_length_22624_cov_2_83003,22,2,,gene_4-gene_21:2.50796563312881,,gene_4-gene_19:3.81365004506914,,,
VIRSorter_NODE_19281_length_1850_cov_1_42117,4,VIRSorter_NODE_19281_length_1850_cov_1_42117,4,2,2,,,2.16595802919242,,,
VIRSorter_NODE_19403_length_1837_cov_2_27329,5,VIRSorter_NODE_19403_length_1837_cov_2_27329,5,2,,3.40929595221409,,2.70744753649053,,,
VIRSorter_NODE_1946_length_22407_cov_2_49163,38,VIRSorter_NODE_1946_length_22407_cov_2_49163,38,2,,gene_1-gene_37:7.22371606178952,,gene_1-gene_37:17.39662251307525,,,
VIRSorter_NODE_19507_length_1829_cov_2_80834,3,VIRSorter_NODE_19507_length_1829_cov_2_80834,3,2,,2.04557757132845,,,,,
VIRSorter_NODE_19529_length_1828_cov_1_40778,4,VIRSorter_NODE_19529_length_1828_cov_1_40778,4,2,,2.72743676177127,,2.16595802919242,,,
VIRSorter_NODE_1965_length_22239_cov_3_31897,35,VIRSorter_NODE_1965_length_22239_cov_3_31897,35,2,,gene_1-gene_33:9.23121969163541,,14.46345561464620,,,
VIRSorter_NODE_19726_length_1812_cov_1_89414,4,VIRSorter_NODE_19726_length_1812_cov_1_89414,4,2,2,,,2.16595802919242,,,
VIRSorter_NODE_19796_length_1804_cov_1_81304,4,VIRSorter_NODE_19796_length_1804_cov_1_81304,4,2,,2.72743676177127,,2.16595802919242,,,
VIRSorter_NODE_19837_length_1801_cov_2_39462,4,VIRSorter_NODE_19837_length_1801_cov_2_39462,4,2,,2.72743676177127,,2.16595802919242,,,
VIRSorter_NODE_2012_length_21769_cov_3_24671,26,VIRSorter_NODE_2012_length_21769_cov_3_24671,26,2,4,gene_6-gene_25:9.56523135302848,,11.89403575893313,,,
VIRSorter_NODE_20809_length_1712_cov_1_87387,4,VIRSorter_NODE_20809_length_1712_cov_1_87387,4,2,,2.72743676177127,,2.16595802919242,,,
